title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
"Rainbow Six (John Clark Novel, A)",Tom Clancy ,Mass Market Paperback,$8.99,$9.99,9780425170342,Berkley,09/01/99,,4.2(w) x 6.9(h) x 1.4(d)
The Liar's Child: A Novel,Carla Buckley ,Hardcover,$15.80,$27.00,9781101887127,Ballantine Books,03/12/19,288,6.4(w) x 9.6(h) x 1(d)
A Wild Sheep Chase: A Novel,Haruki Murakami and Alfred Birnbaum ,Paperback,$9.76,$16.00,9780375718946,Vintage,04/09/02,353,5.2(w) x 8(h) x 0.7(d)
Vox,Christina Dalcher ,Hardcover,$15.63,$26.00,9780440000785,Berkley; 1st Edition edition,08/21/18,336,6.4(w) x 9.3(h) x 1.1(d)
Shadow Tyrants: Clive Cussler (The Oregon Files),Clive Cussler and Boyd Morrison ,Hardcover,$12.26,$29.00,9780735219069,G.P. Putnam's Sons; First Edition edition,09/11/18,400,6.4(w) x 9.3(h) x 1.5(d)
The Likeness,Tana French ,Paperback,$14.19,$17.00,9780143115625,Penguin Books; Reprint edition,05/26/09,466,5.4(w) x 8.4(h) x 1(d)
Vicious Circle (A Joe Pickett Novel),C. J. Box ,Paperback,$7.73,$9.99,9780399185496,G.P. Putnam's Sons; Reprint edition,01/23/18,400,4.2(w) x 7.5(h) x 1(d)
As Long as We Both Shall Live: A Novel,JoAnn Chaney ,Hardcover,$18.29,$27.99,9781250076397,Flatiron Books,01/15/19,336,6.4(w) x 9.6(h) x 1.4(d)
Our Little Lies: An absolutely gripping psychological thriller with a brilliant twist,Sue Watson ,Paperback,$8.09,$10.99,9781786817501,Bookouture,10/09/18,316,5.1(w) x 7.8(h) x 0.8(d)
Death on the Nile: A Hercule Poirot Mystery (Hercule Poirot Mysteries),Agatha Christie ,Paperback,$8.98,$12.99,9780062073556,William Morrow Paperbacks; Reissue edition,02/01/11,352,5.3(w) x 8(h) x 0.9(d)
The Moroccan Girl: A Novel,Charles Cumming ,Hardcover,$18.29,$27.99,9781250129956,St. Martin's Press; 1st Edition edition,02/12/19,368,6.6(w) x 9.5(h) x 1.3(d)
The Silversmith (David Wolf),Jeff Carson ,Paperback,$10.99,$12.99,9781505246827,CreateSpace Independent Publishing Platform,12/09/14,234,5.2(w) x 8(h) x 0.6(d)
Inferno (Robert Langdon),Dan Brown ,Paperback,$8.49,$9.99,9781400079155,Anchor; 1st Printing edition,05/06/14,624,4.2(w) x 7.5(h) x 1.5(d)
Shamed: A Kate Burkholder Novel,Linda Castillo ,Hardcover,$17.70,$26.99,9781250142863,Minotaur Books,07/16/19,304,6.1(w) x 9.2(h)
My Sister's Grave (Tracy Crosswhite),Robert Dugoni ,Paperback,$11.99,$15.95,9781477825570,Thomas & Mercer; Later Printing edition,11/01/14,410,5.5(w) x 8.2(h) x 1(d)
Treasure Hunters: Quest for the City of Gold,James Patterson and Juliana Neufeld ,Hardcover,$10.49,$14.99,9780316349550,jimmy patterson,01/15/18,384,5.8(w) x 8(h) x 1.2(d)
In a House of Lies (A Rebus Novel),Ian Rankin ,Hardcover,$17.70,$27.00,9780316479202,"Little, Brown and Company; 1st edition",12/31/18,384,6.5(w) x 9.6(h) x 1.4(d)
RED Hotel,Ed Fuller and Gary Grossman ,Hardcover,$17.67,$26.95,9780825308901,Beaufort Books; New edition edition,03/19/19,532,8.7(w) x 9.3(h) x 1.7(d)
The Reluctant Fundamentalist,Mohsin Hamid ,Paperback,$11.93,$14.95,9780156034029,Harvest Books; First edition,04/14/08,191,5.3(w) x 8(h) x 0.5(d)
Needful Things: A Novel,Stephen King ,Paperback,$13.59,$19.99,9781501147418,Gallery Books; Reissue edition,03/20/18,816,5.3(w) x 8.2(h) x 2.6(d)
Shelter in Place,Nora Roberts ,Hardcover,$15.31,$27.99,9781250161598,St. Martin's Press; First Edition edition,05/29/18,448,6.4(w) x 9.5(h) x 1.4(d)
Tom Clancy Line of Sight (A Jack Ryan Jr. Novel),Mike Maden ,Paperback,$7.73,$9.99,9780735215948,Berkley; Reprint edition,03/05/19,528,4.2(w) x 7.6(h) x 1.1(d)
Deadly Class Volume 3: The Snake Pit,"Rick Remender , Lee Loughridge, et al. ",Paperback,$13.37,$14.99,9781632154767,Image Comics,10/07/15,128,6.5(w) x 10(h) x 0.5(d)
Along Came a Spider (Alex Cross),James Patterson ,Paperback,$9.13,$16.99,9780446692632,Grand Central Publishing; 7.2.2003 edition,08/01/03,464,5.2(w) x 8(h) x 1.2(d)
The Silent Corner: A Novel of Suspense (Jane Hawk),Dean Koontz ,Paperback,$6.40,$9.99,9780345546791,Bantam; Reprint edition,10/31/17,576,4.2(w) x 7.5(h) x 1.2(d)
Faithful Place,Tana French ,Paperback,$12.69,$17.00,9780143119494,Penguin Books; Reprint edition,06/28/11,400,5.5(w) x 8.3(h) x 0.9(d)
Cujo: A Novel,Stephen King ,Paperback,$11.05,$17.00,9781501192241,Gallery Books; Reprint edition,02/20/18,400,5.3(w) x 8.2(h) x 0.9(d)
Kiss the Girls and Make Them Cry: A Novel,Mary Higgins Clark ,Hardcover,$17.70,$26.99,9781501171703,Simon & Schuster,11/05/19,288,6(w) x 9(h)
Make Me,Lee Child ,Paperback,$5.52,$9.99,9780804178792,Dell,03/29/16,576,4.2(w) x 7.5(h) x 1.4(d)
The First Fifteen Lives of Harry August,Claire North ,Paperback,$13.60,$16.00,9780316399623,Redhook,10/21/14,432,5.4(w) x 8.1(h) x 1(d)
The Enemy (Jack Reacher),Lee Child ,Mass Market Paperback,$8.49,$9.99,9780440245995,Dell,05/19/09,,4.2(w) x 7.5(h) x 1.2(d)
Casino Royale (James Bond Series),Ian Fleming ,Paperback,$11.99,$14.95,9781612185439,Thomas & Mercer; Reprint edition,10/16/12,188,5.4(w) x 8.2(h) x 0.6(d)
Freefall: A Novel,Jessica Barry ,Hardcover,$13.93,$27.99,9780062874832,Harper; First Edition first Printing edition,01/08/19,368,6(w) x 9(h) x 1.2(d)
Invisible,James Patterson and David Ellis ,Mass Market Paperback,$8.39,$9.99,9781455585021,Vision; 1st ptg. edition,11/24/15,,4.2(w) x 7.6(h) x 1.1(d)
The Art of Hearing Heartbeats,Jan-Philipp Sendker and Kevin Wiliarty ,Paperback,$10.84,$16.95,9781590514634,Other Press,01/31/12,352,5.5(w) x 8.2(h) x 1(d)
The Address: A Novel,Fiona Davis ,Paperback,$13.25,$16.00,9781524742010,Dutton; Reprint edition,07/10/18,384,5.3(w) x 8(h) x 0.8(d)
The Injustice,James Patterson and Emily Raymond ,Paperback,$7.40,$9.99,9780316478830,jimmy patterson,11/13/18,336,6.1(w) x 9.1(h) x 0.9(d)
Below Zero (A Joe Pickett Novel),C. J. Box ,Paperback,$8.99,$9.99,9780735211964,G.P. Putnam's Sons,08/02/16,400,4.2(w) x 7.5(h) x 1(d)
Due Process (Joe Dillard Series),Scott Pratt ,Paperback,$11.11,$12.99,9781944083021,"Phoenix Flying, Inc.",11/01/17,301,5(w) x 8(h) x 0.7(d)
