title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
Bring the Noise: The Jurgen Klopp Story,Raphael Honigstein,Paperback,$16.99,$16.99,9781568589572,PublicAffairs,02/06/2018,352,5.40(w) x 8.10(h) x 1.10(d)
Bring Up the Bodies,Hilary Mantel,Paperback,$16.20,$18.00,9781250024176,Picador,05/07/2013,432,5.40(w) x 8.20(h) x 0.90(d)
Broken Angels,Gemma Liviero,Paperback,$13.46,$14.95,9781503934863,Amazon Publishing,04/26/2016,438,5.40(w) x 8.20(h) x 1.40(d)
Broken April,Ismail Kadare,Paperback,$14.95,$14.95,9781561310654,"Dee, Ivan R. Publisher",06/16/1998,218,5.54(w) x 8.58(h) x 0.64(d)
Broken Monsters,Lauren Beukes,Paperback,$14.40,$16.00,9780316216814,"Little, Brown and Company",06/16/2015,464,8.20(w) x 5.40(h) x 1.30(d)
Broken: A Love Story,Lisa Jones,Paperback,$14.40,$16.00,9781416579076,Scribner,05/18/2010,288,5.40(w) x 8.30(h) x 0.80(d)
Brooks: The Biography of Brooks Robinson,Doug Wilson,Paperback,$20.69,$22.99,9781250074607,St. Martin's Press,09/22/2015,368,8.20(w) x 5.40(h) x 1.10(d)
Brother,David Chariandy,Hardcover,$19.80,$22.00,9781635572049,Bloomsbury USA,07/31/2018,192,5.70(w) x 8.30(h) x 1.10(d)
Brothers: The Hidden History of the Kennedy Years,David Talbot,Paperback,$18.00,$18.00,9780743269193,Free Press,06/03/2008,496,5.90(w) x 8.90(h) x 1.30(d)
"Brown Girl, Brownstones",Paule Marshall,Paperback,$12.95,$12.95,9780486468327,Dover Publications,01/15/2009,272,5.30(w) x 8.40(h) x 0.70(d)
Bruce Lee Letters of the Dragon: The Original 1958-1973 Correspondence,Bruce Lee,Paperback,$11.66,$12.95,9780804847094,Tuttle Publishing,11/01/2016,192,5.90(w) x 9.00(h) x 0.70(d)
